date,americano,cafelatte,cafemoca,caramelmatk,icedamericano
2017-05-29,45.70171,20.11195,16.03358,29.2283,16.15353
2017-05-30,43.30267,20.67173,15.35385,32.02718,16.47341
2017-05-31,38.7445,20.87165,14.71411,29.18832,13.19472
2017-06-01,37.7449,19.27229,16.63334,28.9884,13.71451
2017-06-02,34.06637,19.31227,15.2339,26.94922,12.2351
2017-06-03,34.34626,18.9924,14.87405,24.99,10.43582
2017-06-04,36.70531,19.43222,15.63374,29.50819,10.9956
2017-06-05,40.70371,21.91123,15.43382,28.02878,13.71451
2017-06-06,38.66453,23.67053,17.43302,31.2275,9.31627
2017-06-07,42.38304,20.43182,17.43302,30.9876,8.87644
2017-06-08,36.2255,18.59256,15.39384,21.19152,11.55537
2017-06-09,38.18472,17.03318,14.15433,26.50939,10.55577
2017-06-10,38.38464,19.31227,15.9936,26.62934,9.67612
2017-06-11,41.86325,22.39104,17.75289,31.2275,10.55577
2017-06-12,45.10195,21.9912,16.59336,29.66813,11.63534
2017-06-13,39.984,20.75169,17.51299,30.9876,11.79528
2017-06-14,45.30187,20.47181,15.9936,29.82806,12.63494
2017-06-15,43.70251,21.67133,16.83326,29.58816,14.19432
2017-06-16,41.82327,20.95161,15.03398,28.06877,14.19432
2017-06-17,38.06477,22.07117,16.71331,27.30907,12.27508
2017-06-18,53.45861,20.75169,18.83246,30.46781,13.71451
2017-06-19,45.58176,18.63254,15.35385,27.46901,15.03398
2017-06-20,43.14274,20.67173,15.43382,27.38904,13.87445
2017-06-21,41.22351,21.03158,16.31347,28.54858,15.55377
2017-06-22,39.94402,17.79288,13.03478,27.66893,14.59416
2017-06-23,38.78448,20.07197,14.43422,25.38984,14.55417
2017-06-24,35.18592,19.03238,17.03318,25.82966,10.95561
2017-06-25,35.58576,19.91203,17.75289,27.34906,10.55577
2017-06-26,35.86565,16.79328,13.2347,24.91003,12.07516
2017-06-27,40.54378,18.55257,12.475,26.86925,12.75489
2017-06-28,39.38424,17.43302,12.475,26.14954,13.2347
2017-06-29,40.70371,18.55257,14.63414,27.9888,12.43502
2017-06-30,34.66613,17.31307,14.31427,25.50979,12.9948
2017-07-01,37.30507,18.9924,15.47381,26.42942,11.63534
2017-07-02,35.70571,18.79248,16.39344,28.30867,12.59496
2017-07-03,39.42423,18.67253,12.55497,24.63014,12.9948
2017-07-04,42.62295,20.55177,15.51379,27.86885,13.79448
2017-07-05,43.14274,17.9928,13.27469,25.7497,14.03438
